user_id,tweet_id,note_type,helpfulness_raw,helpfulness_score
301,3,Community,helpful,1.0
301,3,LLMnote,somewhat helpful,0.5
301,7,Community,somewhat helpful,0.5
301,7,LLMnote,helpful,1.0
301,12,Community,somewhat helpful,0.5
301,12,LLMnote,helpful,1.0
301,21,Community,helpful,1.0
301,21,LLMnote,somewhat helpful,0.5
301,23,Community,somewhat helpful,0.5
301,23,LLMnote,helpful,1.0
301,24,Community,somewhat helpful,0.5
301,24,LLMnote,not helpful,0.0
301,28,Community,somewhat helpful,0.5
301,28,LLMnote,helpful,1.0
301,31,Community,not helpful,0.0
301,31,LLMnote,somewhat helpful,0.5
301,35,Community,somewhat helpful,0.5
301,35,LLMnote,helpful,1.0
301,46,Community,somewhat helpful,0.5
301,46,LLMnote,helpful,1.0
301,50,Community,not helpful,0.0
301,50,LLMnote,helpful,1.0
301,59,Community,helpful,1.0
301,59,LLMnote,helpful,1.0
301,62,Community,helpful,1.0
301,62,LLMnote,helpful,1.0
301,68,Community,helpful,1.0
301,68,LLMnote,helpful,1.0
301,77,Community,not helpful,0.0
301,77,LLMnote,helpful,1.0
301,91,Community,not helpful,0.0
301,91,LLMnote,helpful,1.0
301,101,Community,helpful,1.0
301,101,LLMnote,helpful,1.0
301,102,Community,somewhat helpful,0.5
301,102,LLMnote,helpful,1.0
301,112,Community,helpful,1.0
301,112,LLMnote,somewhat helpful,0.5
301,123,Community,not helpful,0.0
301,123,LLMnote,helpful,1.0
323,7,Community,somewhat helpful,0.5
323,7,LLMnote,somewhat helpful,0.5
323,12,Community,helpful,1.0
323,12,LLMnote,somewhat helpful,0.5
323,19,Community,not helpful,0.0
323,19,LLMnote,somewhat helpful,0.5
323,28,Community,somewhat helpful,0.5
323,28,LLMnote,somewhat helpful,0.5
323,30,Community,somewhat helpful,0.5
323,30,LLMnote,somewhat helpful,0.5
323,35,Community,somewhat helpful,0.5
323,35,LLMnote,somewhat helpful,0.5
323,36,Community,somewhat helpful,0.5
323,36,LLMnote,helpful,1.0
323,50,Community,not helpful,0.0
323,50,LLMnote,helpful,1.0
323,74,Community,somewhat helpful,0.5
323,74,LLMnote,somewhat helpful,0.5
323,76,Community,not helpful,0.0
323,76,LLMnote,somewhat helpful,0.5
323,82,Community,somewhat helpful,0.5
323,82,LLMnote,somewhat helpful,0.5
323,86,Community,not helpful,0.0
323,86,LLMnote,somewhat helpful,0.5
323,92,Community,helpful,1.0
323,92,LLMnote,somewhat helpful,0.5
323,99,Community,somewhat helpful,0.5
323,99,LLMnote,not helpful,0.0
323,102,Community,somewhat helpful,0.5
323,102,LLMnote,somewhat helpful,0.5
323,106,Community,somewhat helpful,0.5
323,106,LLMnote,somewhat helpful,0.5
323,110,Community,somewhat helpful,0.5
323,110,LLMnote,not helpful,0.0
323,114,Community,somewhat helpful,0.5
323,114,LLMnote,somewhat helpful,0.5
323,124,Community,somewhat helpful,0.5
323,124,LLMnote,somewhat helpful,0.5
323,142,Community,not helpful,0.0
323,142,LLMnote,somewhat helpful,0.5
308,1,Community,helpful,1.0
308,1,LLMnote,helpful,1.0
308,7,Community,helpful,1.0
308,7,LLMnote,helpful,1.0
308,16,Community,helpful,1.0
308,16,LLMnote,helpful,1.0
308,24,Community,somewhat helpful,0.5
308,24,LLMnote,somewhat helpful,0.5
308,30,Community,somewhat helpful,0.5
308,30,LLMnote,helpful,1.0
308,32,Community,helpful,1.0
308,32,LLMnote,helpful,1.0
308,46,Community,somewhat helpful,0.5
308,46,LLMnote,helpful,1.0
