post_id,note_category,share_mean,share_std,share_median,share_responses,share_rating_1,share_rating_2,share_rating_3,share_rating_4,share_rating_5,comment_mean,comment_std,comment_median,comment_responses,comment_rating_1,comment_rating_2,comment_rating_3,comment_rating_4,comment_rating_5,like_mean,like_std,like_median,like_responses,like_rating_1,like_rating_2,like_rating_3,like_rating_4,like_rating_5
1,Community Note,3.4680851063829787,1.3968210691208383,4.0,47,4,10,9,10,12,3.404255319148936,1.5110877365586983,3.0,47,6,8,11,10,7,3.4468085106382977,1.4558540761324257,4.0,47,7,7,4,19,7
1,LLM Note,3.0851063829787235,1.3656856626281881,3.0,47,6,12,10,13,3,3.021276595744681,1.360371690480492,3.0,47,9,7,13,11,6,3.4468085106382977,1.4558540761324257,4.0,47,7,6,7,16,8
2,Community Note,3.2115384615384617,1.2910421917305424,3.0,52,5,13,11,12,11,3.3846153846153846,1.4564689406739606,3.0,52,5,11,13,10,8,3.230769230769231,1.4886155754125867,3.0,52,8,12,7,12,11
2,LLM Note,3.269230769230769,1.3883496652138496,3.5,52,4,17,5,16,7,3.4615384615384617,1.4736341585129245,3.5,52,4,14,8,10,12,3.3461538461538463,1.5918616989672982,3.0,52,7,12,11,5,12
3,Community Note,3.92,1.44,4.0,50,4,5,7,17,9,3.88,1.3362634470792052,4.0,50,3,4,12,14,11,4.28,1.3862178760930766,4.0,50,3,4,3,16,14
3,LLM Note,3.42,1.4154857823376397,3.5,50,4,13,8,10,13,3.44,1.416474496770062,3.5,50,5,9,11,13,8,3.78,1.4323407415835103,4.0,50,4,6,10,13,11
7,Community Note,3.6037735849056602,1.4187374488382989,4.0,53,7,5,8,18,12,3.7169811320754715,1.3650262073725223,4.0,53,5,5,11,14,15,3.660377358490566,1.577475846496489,4.0,53,6,9,7,14,9
7,LLM Note,3.2641509433962264,1.4685500922483055,3.0,53,9,8,10,15,8,3.3773584905660377,1.390349692599286,4.0,53,6,10,9,17,8,3.5660377358490565,1.5960970552872906,4.0,53,8,7,10,8,15
12,Community Note,3.547169811320755,1.2524095679453653,4.0,53,3,9,11,19,8,3.4339622641509435,1.2813529695358226,4.0,53,5,8,11,19,8,3.358490566037736,1.480621231457619,3.0,53,4,16,8,13,6
12,LLM Note,3.792452830188679,1.264291740962336,4.0,53,2,9,7,18,14,3.69811320754717,1.3816165765300232,4.0,53,6,5,7,19,13,3.811320754716981,1.5907350119515462,4.0,53,4,12,5,9,15
16,Community Note,3.311111111111111,1.3633654800158193,3.0,45,2,16,5,13,6,3.466666666666667,1.32664991614216,4.0,45,3,9,10,13,7,3.4444444444444446,1.5854274650432858,3.0,45,7,7,9,7,11
16,LLM Note,3.8222222222222224,1.370950828016638,4.0,45,2,9,5,11,15,3.8,1.2754084313139327,4.0,45,3,5,6,18,10,3.911111111111111,1.6305721180305903,4.0,45,5,6,6,7,13
19,Community Note,3.3529411764705883,1.3694643208026842,4.0,51,5,11,9,16,7,3.235294117647059,1.307418280640757,3.0,51,7,7,13,17,5,3.4901960784313726,1.5258883496740172,4.0,51,7,7,11,11,10
19,LLM Note,3.5098039215686274,1.4868383223630492,4.0,51,5,10,10,11,10,3.4705882352941178,1.391189943142491,3.0,51,5,7,15,11,9,3.6862745098039214,1.4347261278373895,4.0,51,5,5,12,14,9
21,Community Note,3.4693877551020407,1.604865571537755,3.0,49,6,11,9,5,13,3.5306122448979593,1.4156853221244592,4.0,49,4,12,4,14,13,3.510204081632653,1.6917862674336903,4.0,49,9,7,7,8,12
21,LLM Note,3.142857142857143,1.2777531299998797,3.0,49,5,13,10,12,9,3.306122448979592,1.4597187544691974,4.0,49,6,13,4,14,10,3.204081632653061,1.5515573721427112,4.0,49,10,9,5,13,10
23,Community Note,3.4444444444444446,1.3090379088909456,3.0,45,4,6,14,10,9,3.466666666666667,1.39204086785474,3.0,45,4,7,14,7,10,3.466666666666667,1.43913554299486,3.0,45,5,6,13,9,8
23,LLM Note,3.6666666666666665,1.2292725943057181,4.0,45,3,6,8,14,14,3.533333333333333,1.1850925889754118,4.0,45,3,7,7,20,7,3.577777777777778,1.357921432662417,4.0,45,4,7,7,16,8
24,Community Note,3.4,1.4696938456699067,4.0,50,5,14,2,18,7,3.32,1.5157836257197133,3.5,50,8,9,8,12,10,3.66,1.5825296205758677,4.0,50,6,8,7,12,10
24,LLM Note,3.08,1.5854336946085132,3.0,50,9,14,7,8,8,3.04,1.45547243189282,3.0,50,9,13,5,15,6,3.14,1.4967965793654125,3.0,50,8,12,9,10,8
28,Community Note,2.9423076923076925,1.0636197545403716,3.0,52,5,12,19,14,1,3.1923076923076925,1.1608760209835824,3.0,52,3,12,18,11,7,3.3076923076923075,1.294046449327748,4.0,52,5,11,9,19,6
28,LLM Note,3.7884615384615383,1.1983408154857997,4.0,52,3,5,9,20,13,3.9423076923076925,1.3504053741585202,4.0,52,3,4,13,11,15,4.019230769230769,1.4476822937608371,4.0,52,3,7,7,12,15
29,Community Note,3.5714285714285716,1.1952286093343938,4.0,49,3,7,10,18,10,3.7755102040816326,1.1997500780978831,4.0,49,2,7,7,19,12,3.877551020408163,1.3943421104113243,4.0,49,3,6,9,13,12
