participant_name,post_index,winner,community_helpfulness_raw,llm_helpfulness_raw,community_helpfulness_score,llm_helpfulness_score,score_difference,note_mapping
197,2,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
197,3,Community,helpful,helpful,1.0,1.0,0.0,community_first
197,12,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
197,16,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
197,21,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
197,23,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
197,24,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
197,29,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
197,30,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
197,32,Community,somewhat helpful,not helpful,0.5,0.0,-0.5,community_first
197,34,LLMnote,not helpful,not helpful,0.0,0.0,0.0,llm_first
197,59,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
197,74,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
197,76,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
197,79,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
197,85,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
197,101,Community,not helpful,not helpful,0.0,0.0,0.0,community_first
197,111,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
197,122,Community,helpful,helpful,1.0,1.0,0.0,community_first
197,124,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
123,7,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
123,12,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
123,28,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
123,29,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
123,35,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
123,36,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
123,52,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
123,65,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
123,68,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
123,69,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
123,77,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
123,81,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
123,86,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
123,92,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
123,98,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
123,109,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
123,110,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
123,111,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
123,122,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
123,142,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
160,3,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
160,7,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
160,21,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
160,23,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
160,24,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
160,32,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
160,35,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
160,46,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
160,49,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
160,59,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
160,60,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
160,69,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
160,70,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
160,82,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
160,93,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
