participant_name,post_index,winner,community_helpfulness_raw,llm_helpfulness_raw,community_helpfulness_score,llm_helpfulness_score,score_difference,note_mapping
225,1,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
225,2,Community,helpful,not helpful,1.0,0.0,-1.0,community_first
225,7,Community,helpful,helpful,1.0,1.0,0.0,community_first
225,12,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
225,16,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
225,23,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
225,24,Community,helpful,helpful,1.0,1.0,0.0,community_first
225,28,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
225,31,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
225,46,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
225,49,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
225,50,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
225,62,Community,helpful,helpful,1.0,1.0,0.0,community_first
225,72,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
225,76,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
225,91,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
225,99,Community,helpful,helpful,1.0,1.0,0.0,llm_first
225,110,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
225,123,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
225,142,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
235,16,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
235,21,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
235,29,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
235,30,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
235,34,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
235,36,Community,not helpful,not helpful,0.0,0.0,0.0,community_first
235,46,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
235,50,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
235,74,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
235,76,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
235,77,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
235,79,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
235,82,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
235,83,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
235,91,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
235,93,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
235,98,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
235,106,Community,not helpful,not helpful,0.0,0.0,0.0,community_first
235,123,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
235,142,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
238,1,Community,helpful,not helpful,1.0,0.0,-1.0,community_first
238,2,Community,helpful,not helpful,1.0,0.0,-1.0,llm_first
238,16,Community,helpful,not helpful,1.0,0.0,-1.0,community_first
238,23,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
238,28,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
238,35,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
238,36,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
238,46,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
238,60,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
238,70,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
238,72,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
238,74,Community,somewhat helpful,not helpful,0.5,0.0,-0.5,community_first
238,77,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
238,79,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
238,91,LLMnote,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
238,92,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
238,101,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
238,122,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
238,123,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
238,124,Community,helpful,not helpful,1.0,0.0,-1.0,community_first
212,1,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
212,2,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
212,12,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
212,16,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
212,19,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
212,21,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
212,24,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
212,29,Community,somewhat helpful,helpful,0.5,1.0,0.5,community_first
212,30,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
212,36,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
212,52,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
212,59,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
212,68,Community,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
