participant_name,post_index,winner,community_helpfulness_raw,llm_helpfulness_raw,community_helpfulness_score,llm_helpfulness_score,score_difference,note_mapping
301,3,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
301,7,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
301,12,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
301,21,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
301,23,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
301,24,Community,somewhat helpful,not helpful,0.5,0.0,-0.5,community_first
301,28,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
301,31,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
301,35,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
301,46,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
301,50,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
301,59,Community,helpful,helpful,1.0,1.0,0.0,llm_first
301,62,Community,helpful,helpful,1.0,1.0,0.0,llm_first
301,68,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
301,77,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
301,91,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
301,101,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
301,102,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
301,112,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
301,123,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
323,7,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
323,12,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
323,19,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
323,28,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
323,30,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
323,35,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
323,36,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
323,50,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
323,74,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
323,76,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
323,82,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
323,86,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
323,92,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
323,99,Community,somewhat helpful,not helpful,0.5,0.0,-0.5,llm_first
323,102,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
323,106,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
323,110,Community,somewhat helpful,not helpful,0.5,0.0,-0.5,community_first
323,114,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
323,124,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
323,142,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
308,1,Community,helpful,helpful,1.0,1.0,0.0,community_first
308,7,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
308,16,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
308,24,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
308,30,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
308,32,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
308,46,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
308,49,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
308,50,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
308,62,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
308,65,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
308,75,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
