participant_name,post_index,winner,community_helpfulness_raw,llm_helpfulness_raw,community_helpfulness_score,llm_helpfulness_score,score_difference,note_mapping
489,7,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
489,12,LLMnote,not helpful,somewhat helpful,0.0,0.5,0.5,llm_first
489,16,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
489,19,Community,somewhat helpful,not helpful,0.5,0.0,-0.5,llm_first
489,23,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
489,28,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
489,29,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
489,30,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
489,32,Community,helpful,helpful,1.0,1.0,0.0,llm_first
489,34,Community,not helpful,somewhat helpful,0.0,0.5,0.5,community_first
489,50,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
489,52,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
489,59,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
489,82,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
489,86,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
489,102,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
489,106,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
489,111,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
489,123,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
489,124,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
441,19,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
441,21,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
441,29,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
441,49,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
441,57,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
441,62,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
441,75,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
441,79,Community,helpful,helpful,1.0,1.0,0.0,llm_first
441,82,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
441,83,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
441,85,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
441,86,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
441,92,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
441,93,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
441,94,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
441,99,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
441,106,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
441,109,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
441,112,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
441,114,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
421,1,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
421,3,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
421,7,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
421,21,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
421,28,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
421,32,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
421,34,Community,helpful,not helpful,1.0,0.0,-1.0,llm_first
421,35,LLMnote,somewhat helpful,somewhat helpful,0.5,0.5,0.0,llm_first
421,50,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
421,72,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
