participant_name,post_index,winner,community_helpfulness_raw,llm_helpfulness_raw,community_helpfulness_score,llm_helpfulness_score,score_difference,note_mapping
方雪,2,Community,somewhat helpful,somewhat helpful,0.5,0.5,0.0,community_first
方雪,7,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
方雪,16,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
方雪,23,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
方雪,24,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
方雪,28,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
方雪,30,Community,helpful,not helpful,1.0,0.0,-1.0,llm_first
方雪,31,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
方雪,50,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,community_first
方雪,59,LLMnote,not helpful,helpful,0.0,1.0,1.0,llm_first
方雪,65,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
方雪,69,Community,helpful,somewhat helpful,1.0,0.5,-0.5,community_first
方雪,75,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
方雪,81,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
方雪,82,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
方雪,94,LLMnote,not helpful,helpful,0.0,1.0,1.0,community_first
方雪,101,Community,helpful,not helpful,1.0,0.0,-1.0,llm_first
方雪,102,LLMnote,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
方雪,111,Community,helpful,not helpful,1.0,0.0,-1.0,llm_first
方雪,122,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
李路阳,31,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
李路阳,46,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
李路阳,57,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
李路阳,59,Community,helpful,somewhat helpful,1.0,0.5,-0.5,llm_first
李路阳,72,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,75,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
李路阳,77,Community,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,81,LLMnote,somewhat helpful,helpful,0.5,1.0,0.5,llm_first
李路阳,83,Community,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,85,Community,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,86,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
李路阳,91,Community,helpful,helpful,1.0,1.0,0.0,community_first
李路阳,98,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,102,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,106,LLMnote,helpful,helpful,1.0,1.0,0.0,community_first
李路阳,107,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,110,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,112,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
李路阳,114,LLMnote,helpful,helpful,1.0,1.0,0.0,llm_first
