participant_name,participant_id,post_index,note_mapping,response_timestamp,note_type,helpfulness,source_quality,clarity,coverage,context,impartiality,winner,overall_score
225,mewwjjmzc8a9auve0zp,1,llm_first,2025-08-29T16:08:42.475Z,Community,helpful,4,5,5,5,5,1,4.8
225,mewwjjmzc8a9auve0zp,1,llm_first,2025-08-29T16:08:42.475Z,LLMnote,somewhat helpful,4,5,4,3,5,0,4.2
225,mewwjjmzc8a9auve0zp,2,community_first,2025-08-29T15:49:51.910Z,Community,helpful,5,5,5,5,5,1,5.0
225,mewwjjmzc8a9auve0zp,2,community_first,2025-08-29T15:49:51.910Z,LLMnote,not helpful,2,2,2,2,3,0,2.2
225,mewwjjmzc8a9auve0zp,7,community_first,2025-08-29T15:58:06.781Z,Community,helpful,4,4,5,5,5,1,4.6
225,mewwjjmzc8a9auve0zp,7,community_first,2025-08-29T15:58:06.781Z,LLMnote,helpful,5,5,5,4,5,0,4.8
225,mewwjjmzc8a9auve0zp,12,llm_first,2025-08-29T15:48:20.128Z,Community,helpful,5,5,5,5,5,0,5.0
225,mewwjjmzc8a9auve0zp,12,llm_first,2025-08-29T15:48:20.128Z,LLMnote,helpful,5,5,5,5,5,1,5.0
225,mewwjjmzc8a9auve0zp,16,community_first,2025-08-29T15:38:22.814Z,Community,helpful,4,4,4,5,5,0,4.4
225,mewwjjmzc8a9auve0zp,16,community_first,2025-08-29T15:38:22.814Z,LLMnote,helpful,5,5,4,2,4,1,4.0
225,mewwjjmzc8a9auve0zp,23,community_first,2025-08-29T15:51:32.458Z,Community,helpful,5,5,5,5,5,0,5.0
225,mewwjjmzc8a9auve0zp,23,community_first,2025-08-29T15:51:32.458Z,LLMnote,helpful,5,5,5,5,5,1,5.0
225,mewwjjmzc8a9auve0zp,24,community_first,2025-08-29T16:04:20.926Z,Community,helpful,5,5,5,5,5,1,5.0
225,mewwjjmzc8a9auve0zp,24,community_first,2025-08-29T16:04:20.926Z,LLMnote,helpful,5,5,4,5,5,0,4.8
225,mewwjjmzc8a9auve0zp,28,llm_first,2025-08-29T15:43:12.987Z,Community,somewhat helpful,4,4,3,3,5,0,3.8
225,mewwjjmzc8a9auve0zp,28,llm_first,2025-08-29T15:43:12.987Z,LLMnote,helpful,5,5,5,5,5,1,5.0
225,mewwjjmzc8a9auve0zp,31,community_first,2025-08-29T15:40:44.833Z,Community,helpful,5,4,3,3,4,0,3.8
225,mewwjjmzc8a9auve0zp,31,community_first,2025-08-29T15:40:44.833Z,LLMnote,helpful,5,4,3,3,3,1,3.6
225,mewwjjmzc8a9auve0zp,46,llm_first,2025-08-29T15:52:53.322Z,Community,helpful,5,5,4,5,5,0,4.8
225,mewwjjmzc8a9auve0zp,46,llm_first,2025-08-29T15:52:53.322Z,LLMnote,helpful,5,5,5,5,5,1,5.0
225,mewwjjmzc8a9auve0zp,49,llm_first,2025-08-29T16:03:22.156Z,Community,helpful,4,5,3,5,5,0,4.4
